steam_appid,name,reviews_total,reviews_score_fancy,unfiltered_reviews_total,unfiltered_reviews_steam_purchase,metacritic_score,hidden_gem_score,steam_release_date,current_price_usd,base_price_usd,is_free,Free?,is_f2p,F2P?,Coming Soon?,coming_soon,peak_ccu,followers,early_access,Early Access?,current_topsellers_rank,opencritic_score,playtracker_insight_rank,reviews_7day,reviews_30day,reviews_90day,launch_price,developer_ids,publisher_ids,developer,publisher,sdk
242860,Verdun,26917,82.4566,35140,26917,70,0.862465,28/04/2015,1999,1999,0,No,0,No,No,0,4504,171013,-1,Formerly Early Access,1318,56.6667,705,408,786,1738,1349,"761,120,452",7611,"M2H, Blackmill Games",M2H,Discord
951440,Volcanoids,3702,83.1366,4223,3702,-1,0.871454,29/01/2019,1999,1999,0,No,0,No,No,0,1673,72992,1,Early Access,255,,8812,119,174,201,1999,56866,28384,Volcanoid,Volcanoid,Discord
438100,VRChat,124670,85.9296,124670,153,-1,0.607261,01/02/2017,0,0,1,Yes,0,No,No,0,42564,-1,1,Early Access,172,,57,58,117,117,0,26301,26301,VRChat Inc.,VRChat Inc.,Discord
719040,Wasteland 3,10855,82.4975,13911,10855,85,0.863008,27/08/2020,3999,3999,0,No,0,No,No,0,24545,81604,0,Never Had Early Access,562,,7635,1414,2891,3580,5999,2568,2568,inXile Entertainment,inXile Entertainment,Azure Playfab
307110,We Need To Go Deeper,3611,81.4808,4549,3611,-1,0.849402,01/08/2019,1599,1599,0,No,0,No,No,0,825,25941,-1,Formerly Early Access,1756,,3646,33,57,82,999,21117,21117,Deli Interactive LLC,Deli Interactive LLC,Discord
582500,We Were Here,18020,82.8391,18020,1321,-1,0.867532,03/02/2017,0,0,1,Yes,0,No,No,0,1308,30603,0,Never Had Early Access,5977,,519,174,868,868,0,7198,7198,Total Mayhem Games,Total Mayhem Games,Photon
865360,We Were Here Together,6754,73.1558,8351,6754,77,0.728484,10/10/2019,1299,1299,0,No,0,No,No,0,2227,33828,0,Never Had Early Access,594,75,1867,145,330,778,1299,7198,7198,Total Mayhem Games,Total Mayhem Games,Photon
865360,We Were Here Together,6754,73.1558,8351,6754,77,0.728484,10/10/2019,1299,1299,0,No,0,No,No,0,2227,33828,0,Never Had Early Access,594,75,1867,145,330,778,1299,7198,7198,Total Mayhem Games,Total Mayhem Games,Discord
677160,We Were Here Too,3919,75.3788,5089,3919,69,0.76265,02/02/2018,149,999,0,No,0,No,No,0,960,25094,0,Never Had Early Access,1326,73.3333,1298,178,278,322,999,7198,7198,Total Mayhem Games,Total Mayhem Games,Photon
427730,Who's Your Daddy?!,17540,84.1073,21699,17540,-1,0.699339,13/05/2016,499,499,0,No,0,No,No,0,1209,78917,-1,Formerly Early Access,249,,936,277,492,906,499,5760,5760,Evil Tortilla Games,Evil Tortilla Games,Photon
427730,Who's Your Daddy?!,17540,84.1073,21699,17540,-1,0.699339,13/05/2016,499,499,0,No,0,No,No,0,1209,78917,-1,Formerly Early Access,249,,936,277,492,906,499,5760,5760,Evil Tortilla Games,Evil Tortilla Games,Discord
926990,WolfQuest: Anniversary Edition,3222,86.1847,3749,3222,-1,0.910652,25/07/2019,1999,1999,0,No,0,No,No,0,2229,11022,1,Early Access,950,,18784,129,181,214,1499,6781,6781,eduweb,eduweb,Photon
1206560,WorldBox - God Simulator,4353,86.4243,5921,4353,-1,0.665973,02/12/2021,1999,1999,0,No,0,No,No,0,5139,91903,1,Early Access,83,,14783,-1,-1,-1,0,40725,40725,Maxim Karpenko,Maxim Karpenko,Discord
1359090,Zero Hour,17253,70.1119,19776,17253,-1,0.555232,12/08/2020,1199,1199,0,No,0,No,No,0,4288,59077,1,Early Access,781,,4631,458,648,826,1199,"2,491,324,914","2,491,324,914","M7 Productions, Attrito","M7 Productions, Attrito",Discord
1343750,Z-Race,66,72.8445,74,66,-1,0.72357,10/12/2021,1499,1499,0,No,0,No,No,0,8,695,-1,Formerly Early Access,-1,,31096,34,38,40,1499,22202,22202,XOCUS,XOCUS,Azure Playfab
